sample	popGrouping	ageAverage
EKA1	ancient-Yamnaya	4240
VK480	ancient-Yamnaya	1100
VK481	ancient-Yamnaya	1100
VK482	ancient-Yamnaya	1100
VK483	ancient-Yamnaya	1100
VK484	ancient-Yamnaya	1100
VK486	ancient-Yamnaya	1100
VK487	ancient-Yamnaya	1100
VK488	ancient-Yamnaya	1100
VK489	ancient-Yamnaya	1100
VK491	ancient-Yamnaya	1100
VK492	ancient-Yamnaya	1100
VK493	ancient-Yamnaya	1100
VK495	ancient-Yamnaya	1100
VK496	ancient-Yamnaya	1100
VK498	ancient-Yamnaya	1100
VK504	ancient-Yamnaya	1100
VK505	ancient-Yamnaya	1100
VK506	ancient-Yamnaya	1100
VK507	ancient-Yamnaya	1100
VK508	ancient-Yamnaya	1100
VK509	ancient-Yamnaya	1100
VK510	ancient-Yamnaya	1100
VK511	ancient-Yamnaya	1100
VK512	ancient-Yamnaya	1100
VK549	ancient-Yamnaya	1100
VK550	ancient-Yamnaya	1100
VK551	ancient-Yamnaya	1100
VK552	ancient-Yamnaya	1100
VK553	ancient-Yamnaya	1100
VK554	ancient-Yamnaya	1100
VK555	ancient-Yamnaya	1100
NEO307	ancient-Hunter-Gatherer (W)	7495
DA171	ancient-Yamnaya	1600
NEO655	ancient-Early Farmer	8668
NEO658	ancient-Hunter-Gatherer (W)	8668
NEO669	ancient-Hunter-Gatherer (W)	7950
Vim2b	ancient-Yamnaya	1400
SC2	ancient-Hunter-Gatherer (W)	8825
SC1	ancient-Hunter-Gatherer (W)	8814
NEO672	ancient-Hunter-Gatherer (W)	8814
NEO674	ancient-Early Farmer	5570
NEO137	ancient-Early Farmer	7591
NEO145	ancient-Early Farmer	6744
NEO147	ancient-Early Farmer	6724
NEO140	ancient-Early Farmer	6718
NEO142	ancient-Early Farmer	6641
RISE373	ancient-Early Farmer	3741
RISE374	ancient-Early Farmer	3692.5
RISE479	ancient-Yamnaya	3700
RISE484	ancient-Early Farmer	3700
RISE480	ancient-Early Farmer	3550
RISE247	ancient-Early Farmer	3628.5
DA195	ancient-Yamnaya	2691.5
DA194	ancient-Yamnaya	2338.5
DA198	ancient-Early Farmer	2453
DA197	ancient-Yamnaya	2455.5
DA191	ancient-Yamnaya	2481
DA199	ancient-Yamnaya	706
DA119	ancient-Yamnaya	1600
kol6	ancient-Early Farmer	6690
RISE566	ancient-Yamnaya	4106
RISE586	ancient-Yamnaya	4000
RISE577	ancient-Yamnaya	4000
DA111	ancient-Yamnaya	2758
DA112	ancient-Yamnaya	2661
RISE569	ancient-Yamnaya	1235
PL_N22	ancient-Hunter-Gatherer (W)	6291
PL_N36	ancient-Early Farmer	6250
PL_N26	ancient-Early Farmer	6151
PL_N25	ancient-Early Farmer	6250
PL_N27	ancient-Early Farmer	6250
PL_N31	ancient-Early Farmer	6137.5
PL_N28	ancient-Early Farmer	6073.5
PL_N42	ancient-Hunter-Gatherer (W)	6055
PL_N18	ancient-Early Farmer	5462.5
PL_N19	ancient-Early Farmer	5462
PL_N20	ancient-Early Farmer	5462
NEO641	ancient-Early Farmer	5132
NEO640	ancient-Early Farmer	4902
PL_N38	ancient-Early Farmer	5033
RISE1166	ancient-Early Farmer	4907.5
RISE1161	ancient-Early Farmer	4757
RISE1170	ancient-Early Farmer	4748.5
RISE1159	ancient-Early Farmer	4730
RISE1241	ancient-Early Farmer	4752.5
RISE1250	ancient-Early Farmer	4725
RISE1249	ancient-Early Farmer	4736.5
RISE1248	ancient-Early Farmer	4725
RISE1246	ancient-Early Farmer	4715
poz81	ancient-Yamnaya	4705
poz44	ancient-Yamnaya	4675
PL_N45	ancient-Yamnaya	4405
PL_N47	ancient-Yamnaya	4405
PL_N49	ancient-Yamnaya	4405
PL_N17	ancient-Yamnaya	3845.5
RISE109	ancient-Yamnaya	3813
RISE154	ancient-Yamnaya	3795
RISE150	ancient-Yamnaya	3739
VK212	ancient-Yamnaya	889
VK211	ancient-Yamnaya	700
VK156	ancient-Yamnaya	850
VK157	ancient-Yamnaya	850
VK494	ancient-Yamnaya	850
cim357	ancient-Yamnaya	2809.5
scy305	ancient-Early Farmer	2254
scy300	ancient-Early Farmer	2253
scy192	ancient-Early Farmer	2250
scy197	ancient-Early Farmer	2250
scy301	ancient-Yamnaya	2247.5
scy311	ancient-Early Farmer	2246.5
scy303	ancient-Yamnaya	2241.5
NEO501	ancient-Hunter-Gatherer (E)	10623
NEO521	ancient-Hunter-Gatherer (E)	8264
NEO516	ancient-Hunter-Gatherer (E)	7095
NEO270	ancient-Hunter-Gatherer (E)	7297
NEO498	ancient-Hunter-Gatherer (E)	7059
NEO552	ancient-Hunter-Gatherer (E)	6898
NEO507	ancient-Hunter-Gatherer (E)	6885
NEO528	ancient-Hunter-Gatherer (E)	6839
NEO503	ancient-Hunter-Gatherer (E)	6708
NEO502	ancient-Hunter-Gatherer (E)	6610
NEO304	ancient-Hunter-Gatherer (E)	7011
NEO302	ancient-Hunter-Gatherer (E)	6826
NEO300	ancient-Hunter-Gatherer (E)	6678
NEO509	ancient-Hunter-Gatherer (E)	4065
MJ-06	ancient-Yamnaya	4629.5
MJ-09	ancient-Yamnaya	4285.5
MJ-31	ancient-Yamnaya	3119.5
MJ-12	ancient-Early Farmer	2861
MJ-08	ancient-Yamnaya	2596
MJ-14	ancient-Yamnaya	2612.5
MJ-16	ancient-Yamnaya	2534.5
scy010	ancient-Yamnaya	2618.5
scy009	ancient-Yamnaya	2549.5
MJ-35	ancient-Yamnaya	2529.5
MJ-13	ancient-Yamnaya	2527.5
MJ-34	ancient-Yamnaya	2241.5
scy011	ancient-Yamnaya	2183
MJ-46	ancient-Yamnaya	2223
NEO518	ancient-Yamnaya	2156
MJ-37	ancient-Yamnaya	1635.5
MJ-19	ancient-Yamnaya	1554
VK539	ancient-Yamnaya	800
VK542	ancient-Yamnaya	800
Ker1	ancient-Early Farmer	1621.5
VK541	ancient-Yamnaya	250
Sidelkino	ancient-Hunter-Gatherer (E)	11258.5
NEO202	ancient-Hunter-Gatherer (E)	10884
NEO539	ancient-Hunter-Gatherer (E)	10060
NEO100	ancient-Hunter-Gatherer (E)	9929
NEO536	ancient-Hunter-Gatherer (E)	9541
NEO87	ancient-Hunter-Gatherer (E)	8259
NEO88	ancient-Hunter-Gatherer (E)	7871
Karelia	ancient-Hunter-Gatherer (E)	8279.5
NEO555	ancient-Hunter-Gatherer (E)	8280
NEO559	ancient-Hunter-Gatherer (E)	8268
NEO560	ancient-Hunter-Gatherer (E)	7919
NEO557	ancient-Hunter-Gatherer (E)	7917
NEO556	ancient-Hunter-Gatherer (E)	7036
NEO185	ancient-Hunter-Gatherer (E)	7034
NEO186	ancient-Hunter-Gatherer (E)	6922
NEO180	ancient-Hunter-Gatherer (E)	5947
NEO195	ancient-Hunter-Gatherer (E)	5749
NEO189	ancient-Hunter-Gatherer (E)	5648
NEO194	ancient-Hunter-Gatherer (E)	5575
NEO193	ancient-Hunter-Gatherer (E)	5453
NEO197	ancient-Hunter-Gatherer (E)	5245
NEO187	ancient-Hunter-Gatherer (E)	4940
NEO192	ancient-Hunter-Gatherer (E)	6841
NEO179	ancient-Hunter-Gatherer (E)	5467
NEO178	ancient-Hunter-Gatherer (E)	5322
NEO184	ancient-Hunter-Gatherer (E)	5458
NEO171	ancient-Hunter-Gatherer (E)	5835
NEO166	ancient-Hunter-Gatherer (E)	5668
NEO167	ancient-Hunter-Gatherer (E)	5657
NEO163	ancient-Hunter-Gatherer (E)	5603
NEO170	ancient-Hunter-Gatherer (E)	5562
NEO160	ancient-Hunter-Gatherer (E)	5269
NEO113	ancient-Hunter-Gatherer (E)	7336
NEO212	ancient-Hunter-Gatherer (E)	7390
NEO173	ancient-Hunter-Gatherer (E)	6345
NEO174	ancient-Hunter-Gatherer (E)	5306
NEO175	ancient-Yamnaya	4607
NEO687	ancient-Hunter-Gatherer (E)	5446
RISE550	ancient-Yamnaya	4934.5
RISE546	ancient-Yamnaya	4850
RISE548	ancient-Yamnaya	4850
RISE547	ancient-Yamnaya	4710.5
RISE240	ancient-Yamnaya	4706
RISE552	ancient-Yamnaya	4446
RISE555	ancient-Yamnaya	4627
RISE386	ancient-Yamnaya	4121.5
RISE392	ancient-Yamnaya	3961
RISE394	ancient-Yamnaya	3801.5
RISE395	ancient-Yamnaya	3808
kzb008	ancient-Yamnaya	3742
kzb002	ancient-Yamnaya	3721
kzb007	ancient-Yamnaya	3705
kzb003	ancient-Yamnaya	3650
kzb006	ancient-Yamnaya	3648.5
kzb009	ancient-Yamnaya	3644
kzb001	ancient-Yamnaya	3594
mur004	ancient-Yamnaya	3742.5
mur003	ancient-Yamnaya	3734
RISE523	ancient-Yamnaya	3448
RISE525	ancient-Yamnaya	3000
MJ-41	ancient-Yamnaya	2524.5
MJ-56	ancient-Yamnaya	2513.5
LS-13	ancient-Yamnaya	2308.5
MJ-44	ancient-Yamnaya	2216.5
MJ-43	ancient-Yamnaya	2273
DA134	ancient-Yamnaya	1933
DA141	ancient-Yamnaya	1933
DA145	ancient-Yamnaya	1933
DA143	ancient-Yamnaya	1933
DA144	ancient-Yamnaya	1933
DA139	ancient-Yamnaya	1933
chy001	ancient-Yamnaya	1878
chy002	ancient-Yamnaya	1806
tem002	ancient-Yamnaya	1790
tem001	ancient-Yamnaya	1762
tem003	ancient-Yamnaya	1724.5
DA243	ancient-Yamnaya	1533
DA162	ancient-Early Farmer	1700
DA146	ancient-Yamnaya	1300
DA160	ancient-Early Farmer	1300
DA164	ancient-Yamnaya	850
VK221	ancient-Yamnaya	1039
VK219	ancient-Yamnaya	958
VK20	ancient-Yamnaya	888
VK410	ancient-Yamnaya	843
VK16	ancient-Yamnaya	839
VK14	ancient-Yamnaya	800
VK15	ancient-Yamnaya	800
VK17	ancient-Yamnaya	800
VK18	ancient-Yamnaya	800
VK19	ancient-Yamnaya	800
VK21	ancient-Yamnaya	800
VK218	ancient-Yamnaya	800
VK22	ancient-Yamnaya	800
VK220	ancient-Yamnaya	800
VK23	ancient-Yamnaya	800
VK408	ancient-Yamnaya	800
VK409	ancient-Yamnaya	800
VK223	ancient-Yamnaya	850
VK224	ancient-Yamnaya	850
VK254	ancient-Yamnaya	850
VK272	ancient-Yamnaya	850
VK273	ancient-Yamnaya	850
VK466	ancient-Yamnaya	850
VK159	ancient-Yamnaya	850
VK160	ancient-Yamnaya	750
NEO283	ancient-Early Farmer	25688
NEO281	ancient-Early Farmer	9724
KK1	ancient-Early Farmer	9720
SATP	ancient-Early Farmer	13255
RISE423	ancient-Early Farmer	3256.5
DA31	ancient-Early Farmer	3313.5
DA35	ancient-Early Farmer	3313.5
RISE407	ancient-Early Farmer	2955
RISE397	ancient-Yamnaya	2901.5
AH2	ancient-Early Farmer	9930.5
AH4	ancient-Early Farmer	9929.5
AH1	ancient-Early Farmer	9900
NEO816	ancient-Early Farmer	8700
WC1	ancient-Early Farmer	9218.5
Bon002	ancient-Early Farmer	10078
Bon004	ancient-Early Farmer	10076
Bon001	ancient-Early Farmer	10032
Tep002	ancient-Early Farmer	8585
Tep003	ancient-Early Farmer	8505
Tep004	ancient-Early Farmer	8295
Bar31	ancient-Early Farmer	8278.5
Bar8	ancient-Early Farmer	8071
MA2210	ancient-Early Farmer	4700
MA2212	ancient-Early Farmer	4700
MA2213	ancient-Early Farmer	4700
MA2200	ancient-Early Farmer	3800
MA2203	ancient-Early Farmer	3800
MA2205	ancient-Early Farmer	3800
MA2206	ancient-Early Farmer	3800
MA2197	ancient-Early Farmer	2900
MA2198	ancient-Early Farmer	2900
ERS1790733	ancient-Early Farmer	3770
ERS1790729	ancient-Early Farmer	3750
ERS1790731	ancient-Early Farmer	3750
ERS1790730	ancient-Early Farmer	3650
ERS1790732	ancient-Early Farmer	3650
ERS3189338	ancient-Early Farmer	1637
ERS3189339	ancient-Early Farmer	1525
ERS3189342	ancient-Early Farmer	1525
ERS3189335	ancient-Early Farmer	1421
ERS3189343	ancient-Early Farmer	860.5
ERS3189348	ancient-Early Farmer	800
ERS3189349	ancient-Early Farmer	800
ERS3189351	ancient-Early Farmer	800
ERS3189357	ancient-Yamnaya	800
ERS3189353	ancient-Early Farmer	780.5
ERS3189352	ancient-Early Farmer	723.5
ERS3189350	ancient-Yamnaya	713
ERS3189355	ancient-Early Farmer	701.5
NEO310	ancient-Early Farmer	7150
DA381	ancient-Early Farmer	5181
DA380	ancient-Early Farmer	5180.5
DA383	ancient-Early Farmer	5150
Yamnaya	ancient-Yamnaya	4902.5
DA231	ancient-Yamnaya	3541.5
DA17	ancient-Yamnaya	2736.5
DA19	ancient-Yamnaya	2725
DA18	ancient-Yamnaya	2667
DA202	ancient-Yamnaya	2661.5
DA223	ancient-Yamnaya	2338.5
DA220	ancient-Yamnaya	2150
DA26	ancient-Yamnaya	2000
DA30	ancient-Yamnaya	1961.5
DA229	ancient-Yamnaya	1950
DA125	ancient-Yamnaya	1800
DA123	ancient-Yamnaya	1681.5
DA121	ancient-Yamnaya	1681.5
DA226	ancient-Yamnaya	1850
DA206	ancient-Yamnaya	1756.5
DA224	ancient-Yamnaya	1681.5
DA29	ancient-Yamnaya	700
DA53	ancient-Yamnaya	2399.5
DA51	ancient-Yamnaya	2305
RISE507	ancient-Yamnaya	5077
RISE511	ancient-Yamnaya	4744
RISE509	ancient-Yamnaya	4732
RISE510	ancient-Yamnaya	4609.5
RISE505	ancient-Yamnaya	3636
RISE503	ancient-Yamnaya	3569
RISE500	ancient-Yamnaya	3550
RISE494	ancient-Yamnaya	3292
RISE499	ancient-Yamnaya	3100
RISE496	ancient-Yamnaya	3287.5
DA2	ancient-Yamnaya	2816.5
DA3	ancient-Yamnaya	2816.5
DA4	ancient-Yamnaya	2816.5
DA6	ancient-Yamnaya	2816.5
DA8	ancient-Yamnaya	2816.5
DA9	ancient-Yamnaya	2816.5
US-14	ancient-Yamnaya	290.5
NA12718	modern-EUROPE	0
NA12748	modern-EUROPE	0
NA12775	modern-EUROPE	0
NA12777	modern-EUROPE	0
NA12778	modern-EUROPE	0
NA12827	modern-EUROPE	0
NA12829	modern-EUROPE	0
NA12842	modern-EUROPE	0
NA12843	modern-EUROPE	0
NA12889	modern-EUROPE	0
NA12890	modern-EUROPE	0
NA18488	modern-AFRICA	0
NA18530	modern-EAST_ASIA	0
NA18534	modern-EAST_ASIA	0
NA18536	modern-EAST_ASIA	0
NA18543	modern-EAST_ASIA	0
NA18544	modern-EAST_ASIA	0
NA18546	modern-EAST_ASIA	0
NA18548	modern-EAST_ASIA	0
NA18549	modern-EAST_ASIA	0
NA18557	modern-EAST_ASIA	0
NA18559	modern-EAST_ASIA	0
NA20752	modern-EUROPE	0
NA20753	modern-EUROPE	0
NA20754	modern-EUROPE	0
NA20755	modern-EUROPE	0
NA20756	modern-EUROPE	0
NA20757	modern-EUROPE	0
NA20758	modern-EUROPE	0
NA20759	modern-EUROPE	0
NA20760	modern-EUROPE	0
NA20761	modern-EUROPE	0
NA20762	modern-EUROPE	0
NA20763	modern-EUROPE	0
NA20764	modern-EUROPE	0
NA20765	modern-EUROPE	0
NA20766	modern-EUROPE	0
NA20767	modern-EUROPE	0
NA20768	modern-EUROPE	0
NA20769	modern-EUROPE	0
NA20770	modern-EUROPE	0
NA20771	modern-EUROPE	0
NA20772	modern-EUROPE	0
NA20773	modern-EUROPE	0
HG00443	modern-EAST_ASIA	0
HG00445	modern-EAST_ASIA	0
HG00446	modern-EAST_ASIA	0
HG00448	modern-EAST_ASIA	0
HG00449	modern-EAST_ASIA	0
HG00451	modern-EAST_ASIA	0
HG00452	modern-EAST_ASIA	0
HG00463	modern-EAST_ASIA	0
HG00464	modern-EAST_ASIA	0
HG00118	modern-EUROPE	0
HG00119	modern-EUROPE	0
HG00121	modern-EUROPE	0
HG00122	modern-EUROPE	0
HG00123	modern-EUROPE	0
HG00125	modern-EUROPE	0
HG00126	modern-EUROPE	0
HG00159	modern-EUROPE	0
HG00231	modern-EUROPE	0
HG00232	modern-EUROPE	0
HG00236	modern-EUROPE	0
HG00237	modern-EUROPE	0
HG00239	modern-EUROPE	0
NA18595	modern-EAST_ASIA	0
NA18596	modern-EAST_ASIA	0
NA18597	modern-EAST_ASIA	0
NA18599	modern-EAST_ASIA	0
NA18602	modern-EAST_ASIA	0
NA18606	modern-EAST_ASIA	0
NA18610	modern-EAST_ASIA	0
NA18611	modern-EAST_ASIA	0
NA18612	modern-EAST_ASIA	0
NA18613	modern-EAST_ASIA	0
NA18615	modern-EAST_ASIA	0
NA18616	modern-EAST_ASIA	0
NA18617	modern-EAST_ASIA	0
NA18618	modern-EAST_ASIA	0
NA18619	modern-EAST_ASIA	0
NA18620	modern-EAST_ASIA	0
NA18621	modern-EAST_ASIA	0
NA18622	modern-EAST_ASIA	0
NA18623	modern-EAST_ASIA	0
NA18624	modern-EAST_ASIA	0
NA18625	modern-EAST_ASIA	0
NA18626	modern-EAST_ASIA	0
NA20774	modern-EUROPE	0
NA20775	modern-EUROPE	0
NA20778	modern-EUROPE	0
NA20783	modern-EUROPE	0
NA20785	modern-EUROPE	0
NA20786	modern-EUROPE	0
NA20787	modern-EUROPE	0
NA20790	modern-EUROPE	0
NA20792	modern-EUROPE	0
NA20795	modern-EUROPE	0
NA20796	modern-EUROPE	0
NA20797	modern-EUROPE	0
NA20798	modern-EUROPE	0
NA20799	modern-EUROPE	0
NA20800	modern-EUROPE	0
NA20801	modern-EUROPE	0
NA20802	modern-EUROPE	0
NA20803	modern-EUROPE	0
NA20804	modern-EUROPE	0
NA20805	modern-EUROPE	0
NA20806	modern-EUROPE	0
NA20807	modern-EUROPE	0
HG00242	modern-EUROPE	0
HG00243	modern-EUROPE	0
HG00244	modern-EUROPE	0
HG00245	modern-EUROPE	0
HG00252	modern-EUROPE	0
HG00253	modern-EUROPE	0
HG00254	modern-EUROPE	0
HG00256	modern-EUROPE	0
HG00257	modern-EUROPE	0
HG00258	modern-EUROPE	0
HG00259	modern-EUROPE	0
HG00260	modern-EUROPE	0
HG00261	modern-EUROPE	0
HG00262	modern-EUROPE	0
HG00263	modern-EUROPE	0
HG00264	modern-EUROPE	0
HG00265	modern-EUROPE	0
HG00266	modern-EUROPE	0
HG00267	modern-EUROPE	0
HG00268	modern-EUROPE	0
HG00269	modern-EUROPE	0
HG00271	modern-EUROPE	0
NA18627	modern-EAST_ASIA	0
NA18628	modern-EAST_ASIA	0
NA18630	modern-EAST_ASIA	0
NA18631	modern-EAST_ASIA	0
NA18632	modern-EAST_ASIA	0
NA18633	modern-EAST_ASIA	0
NA18634	modern-EAST_ASIA	0
NA18635	modern-EAST_ASIA	0
NA18636	modern-EAST_ASIA	0
NA18637	modern-EAST_ASIA	0
NA18639	modern-EAST_ASIA	0
NA18640	modern-EAST_ASIA	0
NA18641	modern-EAST_ASIA	0
NA18642	modern-EAST_ASIA	0
NA18643	modern-EAST_ASIA	0
NA18645	modern-EAST_ASIA	0
NA18647	modern-EAST_ASIA	0
NA18740	modern-EAST_ASIA	0
NA18745	modern-EAST_ASIA	0
NA18747	modern-EAST_ASIA	0
NA18748	modern-EAST_ASIA	0
NA18749	modern-EAST_ASIA	0
NA20808	modern-EUROPE	0
NA20809	modern-EUROPE	0
NA20810	modern-EUROPE	0
NA20811	modern-EUROPE	0
NA20812	modern-EUROPE	0
NA20813	modern-EUROPE	0
NA20814	modern-EUROPE	0
NA20815	modern-EUROPE	0
NA20818	modern-EUROPE	0
NA20819	modern-EUROPE	0
NA20821	modern-EUROPE	0
NA20822	modern-EUROPE	0
NA20826	modern-EUROPE	0
NA20827	modern-EUROPE	0
NA20828	modern-EUROPE	0
NA20832	modern-EUROPE	0
NA19222	modern-AFRICA	0
HG00272	modern-EUROPE	0
HG00273	modern-EUROPE	0
HG00306	modern-EUROPE	0
HG00308	modern-EUROPE	0
HG00309	modern-EUROPE	0
HG00311	modern-EUROPE	0
HG00313	modern-EUROPE	0
HG00315	modern-EUROPE	0
HG00318	modern-EUROPE	0
HG00319	modern-EUROPE	0
HG00320	modern-EUROPE	0
HG00321	modern-EUROPE	0
HG00323	modern-EUROPE	0
HG00327	modern-EUROPE	0
HG00328	modern-EUROPE	0
HG00335	modern-EUROPE	0
HG00336	modern-EUROPE	0
HG00337	modern-EUROPE	0
HG00338	modern-EUROPE	0
HG00339	modern-EUROPE	0
HG00342	modern-EUROPE	0
HG00343	modern-EUROPE	0
NA18757	modern-EAST_ASIA	0
NA18867	modern-AFRICA	0
NA18868	modern-AFRICA	0
NA18873	modern-AFRICA	0
NA18908	modern-AFRICA	0
NA18910	modern-AFRICA	0
NA18917	modern-AFRICA	0
NA18923	modern-AFRICA	0
NA18924	modern-AFRICA	0
NA18933	modern-AFRICA	0
NA18934	modern-AFRICA	0
NA18939	modern-EAST_ASIA	0
NA18941	modern-EAST_ASIA	0
NA18946	modern-EAST_ASIA	0
NA18954	modern-EAST_ASIA	0
NA18957	modern-EAST_ASIA	0
NA18962	modern-EAST_ASIA	0
NA18963	modern-EAST_ASIA	0
NA18966	modern-EAST_ASIA	0
NA18977	modern-EAST_ASIA	0
NA18978	modern-EAST_ASIA	0
NA18979	modern-EAST_ASIA	0
HG00344	modern-EUROPE	0
HG00345	modern-EUROPE	0
HG00346	modern-EUROPE	0
HG00349	modern-EUROPE	0
HG00350	modern-EUROPE	0
HG00351	modern-EUROPE	0
HG00353	modern-EUROPE	0
HG00355	modern-EUROPE	0
HG00356	modern-EUROPE	0
HG00357	modern-EUROPE	0
HG00358	modern-EUROPE	0
HG00360	modern-EUROPE	0
HG00361	modern-EUROPE	0
HG00362	modern-EUROPE	0
HG00364	modern-EUROPE	0
HG00365	modern-EUROPE	0
HG00366	modern-EUROPE	0
HG00367	modern-EUROPE	0
HG00368	modern-EUROPE	0
HG00369	modern-EUROPE	0
HG00371	modern-EUROPE	0
HG00372	modern-EUROPE	0
NA18987	modern-EAST_ASIA	0
NA18990	modern-EAST_ASIA	0
NA18991	modern-EAST_ASIA	0
NA18992	modern-EAST_ASIA	0
NA18993	modern-EAST_ASIA	0
NA18994	modern-EAST_ASIA	0
NA18995	modern-EAST_ASIA	0
NA18997	modern-EAST_ASIA	0
NA18998	modern-EAST_ASIA	0
NA18999	modern-EAST_ASIA	0
NA19000	modern-EAST_ASIA	0
NA19001	modern-EAST_ASIA	0
NA19002	modern-EAST_ASIA	0
NA19003	modern-EAST_ASIA	0
NA19007	modern-EAST_ASIA	0
NA19009	modern-EAST_ASIA	0
NA19010	modern-EAST_ASIA	0
NA19012	modern-EAST_ASIA	0
NA19054	modern-EAST_ASIA	0
NA19055	modern-EAST_ASIA	0
NA19056	modern-EAST_ASIA	0
NA19057	modern-EAST_ASIA	0
HG00373	modern-EUROPE	0
HG00375	modern-EUROPE	0
HG00376	modern-EUROPE	0
NA19058	modern-EAST_ASIA	0
NA19059	modern-EAST_ASIA	0
NA19060	modern-EAST_ASIA	0
NA19062	modern-EAST_ASIA	0
NA19063	modern-EAST_ASIA	0
NA19064	modern-EAST_ASIA	0
NA19065	modern-EAST_ASIA	0
NA19066	modern-EAST_ASIA	0
NA19067	modern-EAST_ASIA	0
NA19068	modern-EAST_ASIA	0
NA19070	modern-EAST_ASIA	0
NA19072	modern-EAST_ASIA	0
NA19074	modern-EAST_ASIA	0
NA19075	modern-EAST_ASIA	0
NA19076	modern-EAST_ASIA	0
NA19077	modern-EAST_ASIA	0
NA19078	modern-EAST_ASIA	0
NA19079	modern-EAST_ASIA	0
NA19080	modern-EAST_ASIA	0
NA19081	modern-EAST_ASIA	0
NA19082	modern-EAST_ASIA	0
NA19083	modern-EAST_ASIA	0
NA06985	modern-EUROPE	0
NA06986	modern-EUROPE	0
NA06994	modern-EUROPE	0
NA07000	modern-EUROPE	0
NA07037	modern-EUROPE	0
NA07051	modern-EUROPE	0
NA19084	modern-EAST_ASIA	0
NA19085	modern-EAST_ASIA	0
NA19086	modern-EAST_ASIA	0
NA19087	modern-EAST_ASIA	0
NA19088	modern-EAST_ASIA	0
NA19092	modern-AFRICA	0
NA19095	modern-AFRICA	0
NA19096	modern-AFRICA	0
NA19107	modern-AFRICA	0
NA19113	modern-AFRICA	0
NA19117	modern-AFRICA	0
NA19118	modern-AFRICA	0
NA19121	modern-AFRICA	0
NA19130	modern-AFRICA	0
NA19146	modern-AFRICA	0
NA19149	modern-AFRICA	0
NA19175	modern-AFRICA	0
NA19184	modern-AFRICA	0
NA19185	modern-AFRICA	0
NA19189	modern-AFRICA	0
NA19197	modern-AFRICA	0
NA19198	modern-AFRICA	0
NA07347	modern-EUROPE	0
NA07357	modern-EUROPE	0
NA10847	modern-EUROPE	0
NA10851	modern-EUROPE	0
NA11829	modern-EUROPE	0
NA11830	modern-EUROPE	0
NA11831	modern-EUROPE	0
NA11832	modern-EUROPE	0
NA11840	modern-EUROPE	0
NA11881	modern-EUROPE	0
NA11894	modern-EUROPE	0
NA11918	modern-EUROPE	0
NA11919	modern-EUROPE	0
NA11920	modern-EUROPE	0
NA11931	modern-EUROPE	0
NA11992	modern-EUROPE	0
NA11994	modern-EUROPE	0
NA11995	modern-EUROPE	0
NA12003	modern-EUROPE	0
NA12004	modern-EUROPE	0
NA12005	modern-EUROPE	0
NA12006	modern-EUROPE	0
NA19213	modern-AFRICA	0
NA19214	modern-AFRICA	0
NA19223	modern-AFRICA	0
NA19235	modern-AFRICA	0
NA19236	modern-AFRICA	0
NA19247	modern-AFRICA	0
NA19248	modern-AFRICA	0
NA19256	modern-AFRICA	0
NA07048	modern-EUROPE	0
NA11932	modern-EUROPE	0
NA11933	modern-EUROPE	0
NA12046	modern-EUROPE	0
NA18525	modern-EAST_ASIA	0
NA18528	modern-EAST_ASIA	0
NA18531	modern-EAST_ASIA	0
NA18533	modern-EAST_ASIA	0
NA18535	modern-EAST_ASIA	0
NA18538	modern-EAST_ASIA	0
NA18539	modern-EAST_ASIA	0
NA18541	modern-EAST_ASIA	0
NA18553	modern-EAST_ASIA	0
NA18560	modern-EAST_ASIA	0
NA20845	modern-SOUTH_ASIA	0
NA20846	modern-SOUTH_ASIA	0
NA20847	modern-SOUTH_ASIA	0
NA20849	modern-SOUTH_ASIA	0
NA20850	modern-SOUTH_ASIA	0
NA20851	modern-SOUTH_ASIA	0
NA20852	modern-SOUTH_ASIA	0
NA20853	modern-SOUTH_ASIA	0
NA20854	modern-SOUTH_ASIA	0
NA20856	modern-SOUTH_ASIA	0
NA20858	modern-SOUTH_ASIA	0
NA12043	modern-EUROPE	0
NA12044	modern-EUROPE	0
NA12045	modern-EUROPE	0
NA12144	modern-EUROPE	0
NA12154	modern-EUROPE	0
NA12155	modern-EUROPE	0
NA12156	modern-EUROPE	0
NA12234	modern-EUROPE	0
NA12249	modern-EUROPE	0
NA12287	modern-EUROPE	0
NA12414	modern-EUROPE	0
NA12489	modern-EUROPE	0
NA12716	modern-EUROPE	0
NA12717	modern-EUROPE	0
NA12749	modern-EUROPE	0
NA12750	modern-EUROPE	0
NA12751	modern-EUROPE	0
NA12760	modern-EUROPE	0
NA12761	modern-EUROPE	0
NA12762	modern-EUROPE	0
NA12763	modern-EUROPE	0
NA12776	modern-EUROPE	0
NA18565	modern-EAST_ASIA	0
NA18567	modern-EAST_ASIA	0
NA18574	modern-EAST_ASIA	0
NA18591	modern-EAST_ASIA	0
NA18629	modern-EAST_ASIA	0
NA18644	modern-EAST_ASIA	0
NA18646	modern-EAST_ASIA	0
NA18648	modern-EAST_ASIA	0
NA18864	modern-AFRICA	0
NA18865	modern-AFRICA	0
NA18876	modern-AFRICA	0
NA18877	modern-AFRICA	0
NA18878	modern-AFRICA	0
NA18879	modern-AFRICA	0
NA18881	modern-AFRICA	0
NA18915	modern-AFRICA	0
NA18950	modern-EAST_ASIA	0
NA18982	modern-EAST_ASIA	0
